epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88638,2.68133,5.08102,10.3245,2.49065,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0793,0.0023,0.0023
2,10.9208,2.88288,4.13482,3.39374,2.81902,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0575449,0.0045449,0.0045449
3,14.3126,2.49341,3.0973,2.82121,2.68609,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0356314,0.0066314,0.0066314
4,17.4768,2.36039,2.63263,2.64162,2.62407,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0135595,0.0085595,0.0085595
5,20.6207,2.35334,2.45204,2.43479,2.60011,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00868,0.00868,0.00868
6,23.7848,2.33377,2.19557,2.214,2.56413,0.05006,0.38961,0.03571,0.01145,0.04438,0.27273,0.02895,0.00715,2.29167,5.93616,23.6555,3.20082,0.00835,0.00835,0.00835
1,16.3436,2.31684,3.27019,4.41826,2.23675,0.00054,0.1039,0.00047,0.00016,0,0,0,0,4.59572,nan,inf,557.848,0.0701579,0.00331579,0.00331579
2,30.7483,2.31161,2.79417,2.44359,2.2642,0.0018,0.15584,0.00105,0.00021,0.00045,0.03896,0.00023,3e-05,3.71176,386.257,55.5363,38.3686,0.0399385,0.0064297,0.0064297
3,45.3055,2.19398,2.41383,2.28168,2.18872,0.02046,0.25974,0.01454,0.00199,0.025,0.01299,0.00381,0.00056,3.69097,17.7572,63.0629,10.007,0.00949905,0.00932361,0.00932361
4,59.676,2.09901,2.22178,2.28947,2.23949,0.16281,0.38961,0.15361,0.05674,0.18686,0.38961,0.17808,0.07895,2.18596,2.21119,2.70721,2.28869,0.00901,0.00901,0.00901
5,74.0752,1.98084,1.89286,2.08575,2.04136,0.16184,0.2987,0.1597,0.04366,0.41237,0.25974,0.27958,0.09335,2.32232,5.24746,7.49729,2.88408,0.00868,0.00868,0.00868
6,88.2992,1.91578,1.81203,2.00331,1.97971,0.44613,0.70086,0.56499,0.21484,0.52467,0.57341,0.62116,0.27948,1.82598,1.75818,2.38249,2.12294,0.00835,0.00835,0.00835
7,102.746,1.77837,1.65436,1.87687,1.89236,0.5238,0.80519,0.51665,0.21166,0.52759,0.83117,0.58503,0.28544,1.75895,1.51245,2.33804,1.90436,0.00802,0.00802,0.00802
8,117.619,1.68035,1.66536,1.75702,1.81131,0.45652,0.80519,0.4727,0.2315,0.49505,0.83117,0.57395,0.26788,1.54247,1.70335,1.57513,1.8291,0.00769,0.00769,0.00769
9,132.007,1.6443,1.65161,1.61881,1.81734,0.46044,0.75325,0.51947,0.23931,0.52966,0.76623,0.61241,0.28903,1.43586,1.42742,1.58569,1.78251,0.00736,0.00736,0.00736
10,146.376,1.53841,1.49651,1.62188,1.651,0.56409,0.85709,0.63646,0.30569,0.57263,0.87008,0.68233,0.36602,1.56054,1.43329,1.36778,1.67419,0.00703,0.00703,0.00703
11,160.662,1.49998,1.7264,1.62321,1.66002,0.60011,0.91604,0.65558,0.34474,0.5916,0.90305,0.65217,0.35948,1.47269,1.40189,1.4629,1.69091,0.0067,0.0067,0.0067
12,175.053,1.48048,1.52634,1.57829,1.65903,0.56375,0.83117,0.6118,0.33264,0.56375,0.83117,0.65082,0.37454,1.32661,1.33339,1.48798,1.61683,0.00637,0.00637,0.00637
13,189.401,1.45508,1.55497,1.52477,1.64181,0.46958,0.85714,0.55503,0.29115,0.51279,0.88312,0.63358,0.32974,1.35,1.41002,1.4415,1.59755,0.00604,0.00604,0.00604
14,203.607,1.44982,1.53831,1.48692,1.6392,0.55092,0.87013,0.6552,0.3276,0.55143,0.8961,0.68342,0.37825,1.30464,1.4279,1.37849,1.69168,0.00571,0.00571,0.00571
15,217.863,1.42543,1.62485,1.46474,1.58106,0.65971,0.88312,0.75575,0.3969,0.70261,0.90909,0.79205,0.44867,1.36202,1.35077,1.25269,1.60014,0.00538,0.00538,0.00538
16,232.216,1.36293,1.51862,1.42961,1.56305,0.57675,0.87013,0.67271,0.38149,0.64747,0.8961,0.75402,0.42802,1.32373,1.32996,1.30105,1.70242,0.00505,0.00505,0.00505
17,246.535,1.40312,1.62517,1.44577,1.59746,0.73493,0.82818,0.79032,0.40517,0.79166,0.88834,0.89682,0.48027,1.30776,1.30887,1.38348,1.68661,0.00472,0.00472,0.00472
18,260.935,1.39728,1.50868,1.4436,1.58671,0.68392,0.92734,0.7485,0.41584,0.72165,0.9428,0.83505,0.47394,1.25018,1.30969,1.32387,1.57848,0.00439,0.00439,0.00439
19,275.343,1.32453,1.42622,1.42592,1.55455,0.4336,0.9147,0.52901,0.2771,0.57223,0.74707,0.66881,0.32033,1.23775,1.29045,1.42342,1.6631,0.00406,0.00406,0.00406
20,289.68,1.32986,1.49297,1.37052,1.57008,0.47381,0.92208,0.60592,0.3374,0.49865,0.94805,0.64451,0.37962,1.26421,1.25756,1.29546,1.63035,0.00373,0.00373,0.00373
21,304.529,1.19739,1.18902,1.29796,1.51343,0.64799,0.95629,0.74101,0.43205,0.66004,0.96104,0.77955,0.48473,1.22697,1.32378,1.23337,1.59668,0.0034,0.0034,0.0034
22,319.131,1.18435,1.1674,1.2932,1.52071,0.64947,0.96104,0.74729,0.43722,0.65523,0.96104,0.75417,0.48196,1.19285,1.34523,1.21412,1.60176,0.00307,0.00307,0.00307
23,333.633,1.16535,1.13492,1.26153,1.52121,0.59647,0.93506,0.70231,0.43282,0.60819,0.94805,0.7311,0.46911,1.12053,1.38568,1.24081,1.61891,0.00274,0.00274,0.00274
24,348.309,1.14268,1.15475,1.25956,1.50567,0.56778,0.94805,0.67847,0.43253,0.57602,0.93506,0.72692,0.46934,1.16744,1.38053,1.28978,1.62088,0.00241,0.00241,0.00241
25,362.789,1.10868,1.11649,1.2399,1.50825,0.6203,0.93354,0.70368,0.44609,0.63687,0.93506,0.77077,0.4968,1.14518,1.30592,1.19905,1.58644,0.00208,0.00208,0.00208
26,377.346,1.09071,1.13708,1.24425,1.47023,0.69821,0.92208,0.79703,0.47852,0.6896,0.90909,0.79158,0.51105,1.08657,1.27122,1.18932,1.55559,0.00175,0.00175,0.00175
27,391.897,1.06759,1.09,1.19603,1.47178,0.70952,0.90909,0.81498,0.49853,0.71755,0.90909,0.80671,0.52645,1.07389,1.25421,1.15614,1.55021,0.00142,0.00142,0.00142
28,406.562,1.0676,1.08747,1.17903,1.47933,0.71823,0.90909,0.79201,0.48632,0.72849,0.92208,0.82806,0.52883,1.07964,1.24049,1.15225,1.53338,0.00109,0.00109,0.00109
29,420.961,1.03834,1.08973,1.17688,1.41589,0.65703,0.8708,0.77671,0.49324,0.6678,0.88312,0.8119,0.52958,1.08419,1.23062,1.17414,1.51853,0.00076,0.00076,0.00076
30,435.355,1.01597,1.09097,1.15505,1.3997,0.65987,0.88312,0.77296,0.49609,0.67828,0.9036,0.80952,0.53344,1.07753,1.22196,1.16522,1.5117,0.00043,0.00043,0.00043
